ano,pais,quantidade_exportacao,valor_exportacao,valor_exportacao_por_litro,producao_brasileira,percentual_exportacao
2009,Filipinas,0,0,0.0,245318774,0.0
2009,Finlandia,0,0,0.0,245318774,0.0
2009,Franca,0,0,0.0,245318774,0.0
2009,Gana,0,0,0.0,245318774,0.0
2009,Gibraltar,0,0,0.0,245318774,0.0
2009,Grecia,0,0,0.0,245318774,0.0
2009,Guatemala,20,20,1.0,245318774,8.152657733402825e-06
2009,Guiana,0,0,0.0,245318774,0.0
2009,Guiana Francesa,0,0,0.0,245318774,0.0
2009,Guine-Bissau,0,0,0.0,245318774,0.0
2009,Guine Equatorial,169,272,1.61,245318774,6.888995784725388e-05
2009,Haiti,4500,5863,1.3,245318774,0.0018343479900156357
2009,Honduras,14,30,2.14,245318774,5.706860413381978e-06
2009,Hong Kong,50319,27188,0.54,245318774,0.020511679224354838
2009,Hungria,0,0,0.0,245318774,0.0
2009,Ilha de Man,0,0,0.0,245318774,0.0
2009,Ilhas Virgens,0,0,0.0,245318774,0.0
2009,India,0,0,0.0,245318774,0.0
2009,Indonesia,0,0,0.0,245318774,0.0
2009,Ira,0,0,0.0,245318774,0.0
2009,Iraque,0,0,0.0,245318774,0.0
2009,Irlanda,0,0,0.0,245318774,0.0
2009,Italia,1817,5251,2.89,245318774,0.0007406689550796467
2009,Jamaica,0,0,0.0,245318774,0.0
2009,Japao,217974,283436,1.3,245318774,0.08885337083903738
2009,Jordania,0,0,0.0,245318774,0.0
2009,Letonia,0,0,0.0,245318774,0.0
2009,Libano,0,0,0.0,245318774,0.0
2009,Liberia,0,0,0.0,245318774,0.0
2009,Luxemburgo,7845,42124,5.37,245318774,0.003197879995927258
2009,Malasia,0,0,0.0,245318774,0.0
2009,Malta,0,0,0.0,245318774,0.0
2009,Ilhas Marshall,0,0,0.0,245318774,0.0
2009,Mauritania,0,0,0.0,245318774,0.0
2009,Mexico,0,0,0.0,245318774,0.0
2009,Montenegro,0,0,0.0,245318774,0.0
2009,Namibia,0,0,0.0,245318774,0.0
2009,Nicaragua,24,24,1.0,245318774,9.78318928008339e-06
2009,Nigeria,41,115,2.8,245318774,1.6712948353475792e-05
2009,Noruega,0,0,0.0,245318774,0.0
2009,Nova Caledonia,0,0,0.0,245318774,0.0
2009,Nova Zelandia,0,0,0.0,245318774,0.0
2009,Holanda,171654,136991,0.8,245318774,0.06997181552847644
2009,Panama,24,30,1.25,245318774,9.78318928008339e-06
2009,Paraguai,486927,392087,0.81,245318774,0.19848745860763187
2009,Peru,0,0,0.0,245318774,0.0
2009,Polonia,6982,35797,5.13,245318774,0.002846092814730926
2009,Porto Rico,0,0,0.0,245318774,0.0
2009,Portugal,141000,168923,1.2,245318774,0.05747623702048992
2009,Quenia,0,0,0.0,245318774,0.0
2009,Reino Unido,30092,68788,2.29,245318774,0.012266488825677893
2009,Republica Dominicana,0,0,0.0,245318774,0.0
2009,Russia,21912914,5732280,0.26,245318774,8.932424389174551
2009,Sao Tome e Principe,0,0,0.0,245318774,0.0
2009,Sao Vicente e Granadinas,0,0,0.0,245318774,0.0
2009,Senegal,0,0,0.0,245318774,0.0
2009,Serra Leoa,0,0,0.0,245318774,0.0
2009,Singapura,0,0,0.0,245318774,0.0
2009,Suazilandia,0,0,0.0,245318774,0.0
2009,Suecia,28334,52826,1.86,245318774,0.011549870210911783
2009,Suica,27653,81319,2.94,245318774,0.011272272215089417
2009,Suriname,3830,12918,3.37,245318774,0.001561233955946641
2009,Tailandia,0,0,0.0,245318774,0.0
2009,Taiwan,0,0,0.0,245318774,0.0
2009,Tanzania,0,0,0.0,245318774,0.0
2009,Republica Tcheca,9269,43902,4.74,245318774,0.0037783492265455396
2009,Togo,0,0,0.0,245318774,0.0
2009,Trindade e Tobago,0,0,0.0,245318774,0.0
2009,Tunisia,0,0,0.0,245318774,0.0
2009,Turquia,0,0,0.0,245318774,0.0
2009,Tuvalu,0,0,0.0,245318774,0.0
2009,Uruguai,0,0,0.0,245318774,0.0
2009,Vanuatu,0,0,0.0,245318774,0.0
2009,Venezuela,0,0,0.0,245318774,0.0
2009,Vietna,743,2143,2.88,245318774,0.00030287123479591494
2010,Afeganistao,0,0,0.0,220073693,0.0
2010,Africa do Sul,0,0,0.0,220073693,0.0
2010,Alemanha,27715,138666,5.0,220073693,0.012593508847965758
2010,Angola,33557,189891,5.66,220073693,0.015248074198491321
2010,Anguilla,0,0,0.0,220073693,0.0
